SD Paus;;Sekolah Dasar;RCHM+HJ8;RCHM+HJ8;https://www.google.com/maps/place/SD+Paus/data=!4m7!3m6!1s0x31fc5dddb137e347:0x9f2787902fe09817!8m2!3d0.8289185!4d110.4340724!16s%2Fg%2F11dftm3q_b!19sChIJR-M3sd1d_DERF5jgL5CHJ58?authuser=0&hl=id&rclk=1;3,9 bintang 7 Ulasan
SDN 28 Entabai;;Sekolah;RHC4+FWM;0852-1147-1169;https://www.google.com/maps/place/SDN+28+Entabai/data=!4m7!3m6!1s0x31fc4322e6d1fc85:0x58f0c64280a582f7!8m2!3d0.8212062!4d110.5572997!16s%2Fg%2F11gm8bt1gc!19sChIJhfzR5iJD_DER94KlgELG8Fg?authuser=0&hl=id&rclk=1;4,2 bintang 5 Ulasan
SDN 28 BEDUAI MANSAI;;Sekolah;C8FH+PFH;;https://www.google.com/maps/place/SDN+28+BEDUAI+MANSAI/data=!4m7!3m6!1s0x31fd070715c9038f:0x4ee6d32b94c0b188!8m2!3d0.4243162!4d110.3287444!16s%2Fg%2F11rfp8l0tw!19sChIJjwPJFQcH_TERiLHAlCvT5k4?authuser=0&hl=id&rclk=1;5,0 bintang 2 Ulasan
SD MIS ruis;;Sekolah Dasar;QFP5+XPP;;https://www.google.com/maps/place/SD+MIS+ruis/data=!4m7!3m6!1s0x31fc5c6fb1e8e7a3:0xa65cc4521599c5f!8m2!3d0.7874516!4d110.4593138!16s%2Fg%2F11bvvx_zz3!19sChIJo-fosW9c_DERX5xZIUXMZQo?authuser=0&hl=id&rclk=1;5,0 bintang 1 Ulasan
SD N 20 Perbuak;;Sekolah Dasar;V54C+QQ5;V54C+QQ5;https://www.google.com/maps/place/SD+N+20+Perbuak/data=!4m7!3m6!1s0x31fc8d30e212d51b:0xe938ccf7aa23ac60!8m2!3d0.8568803!4d110.171995!16s%2Fg%2F11dzx7xh7y!19sChIJG9US4jCN_DERYKwjqvfMOOk?authuser=0&hl=id&rclk=1;
SD NEGERI 15 MAJEL KECAMATAN BONTI;;Sekolah Dasar;GJ5X+QWM;GJ5X+QWM;https://www.google.com/maps/place/SD+NEGERI+15+MAJEL+KECAMATAN+BONTI/data=!4m7!3m6!1s0x31fdb50b6a9f8ef1:0x47db7ca521177eea!8m2!3d0.5094501!4d110.6497971!16s%2Fg%2F11rf2wz89p!19sChIJ8Y6fagu1_TER6n4XIaV820c?authuser=0&hl=id&rclk=1;
SD NEGERI 09 TANJUNG MERPATI;;Sekolah Dasar;HC45+JFQ;;https://www.google.com/maps/place/SD+NEGERI+09+TANJUNG+MERPATI/data=!4m7!3m6!1s0x31fdab4f2d011121:0x1eb83b9788bf4fe!8m2!3d0.5565961!4d110.4087277!16s%2Fg%2F11dxs4jw7_!19sChIJIREBLU-r_TER_vSLeLmD6wE?authuser=0&hl=id&rclk=1;4,1 bintang 7 Ulasan
SD NEGERI 11 SELESUNG;;Sekolah Dasar;98W6+8G;98W6+8G;https://www.google.com/maps/place/SD+NEGERI+11+SELESUNG/data=!4m7!3m6!1s0x31fd0900051bc703:0x535cb1fa7d534932!8m2!3d0.3958346!4d110.3113453!16s%2Fg%2F11vsw6th5w!19sChIJA8cbBQAJ_TERMklTffqxXFM?authuser=0&hl=id&rclk=1;
SD Negeri 37 Muara Ronai;;Sekolah Dasar;CM7C+XV9, Dusun Muara Ronai;CM7C+XV9, Dusun Muara Ronai;https://www.google.com/maps/place/SD+Negeri+37+Muara+Ronai/data=!4m7!3m6!1s0x31fdb9ff14728379:0x1f3664f2646829c0!8m2!3d0.4149039!4d110.6722365!16s%2Fg%2F11ks038py2!19sChIJeYNyFP-5_TERwCloZPJkNh8?authuser=0&hl=id&rclk=1;3,0 bintang 2 Ulasan
SD NEGERI 12 SEJUAH;;Sekolah Dasar;HF29+RMM, Unnamed Road;HF29+RMM, Unnamed Road;https://www.google.com/maps/place/SD+NEGERI+12+SEJUAH/data=!4m7!3m6!1s0x31fdadd9236cd945:0x37ebc4806249aecc!8m2!3d0.5520984!4d110.4691742!16s%2Fg%2F11qgjrn4y1!19sChIJRdlsI9mt_TERzK5JYoDE6zc?authuser=0&hl=id&rclk=1;
SDN 12 Tidu;;Sekolah Dasar;PH74+2WF, Unnamed Road;PH74+2WF, Unnamed Road;https://www.google.com/maps/place/SDN+12+Tidu/data=!4m7!3m6!1s0x31fc45b2c5b03f87:0x8a4f2dab9a06c32a!8m2!3d0.712554!4d110.557308!16s%2Fg%2F11ny1lg0rg!19sChIJhz-wxbJF_DERKsMGmqstT4o?authuser=0&hl=id&rclk=1;
SD NEGERI 08 NGALOK;;Sekolah Dasar;HFF5+76;HFF5+76;https://www.google.com/maps/place/SD+NEGERI+08+NGALOK/data=!4m7!3m6!1s0x31fc536ff4adc5af:0xdd4be0ea21076120!8m2!3d0.5731544!4d110.4581211!16s%2Fg%2F11t1h_rn03!19sChIJr8Wt9G9T_DERIGEHIergS90?authuser=0&hl=id&rclk=1;5,0 bintang 4 Ulasan
SD Negeri 20 Semadu - Segok;;Sekolah Dasar;G8CF+HMV;G8CF+HMV;https://www.google.com/maps/place/SD+Negeri+20+Semadu+-+Segok/data=!4m7!3m6!1s0x31fd017f26f7ba0b:0xe857e903fcbfb493!8m2!3d0.5215038!4d110.3241488!16s%2Fg%2F11kpds5x45!19sChIJC7r3Jn8B_TERk7S__APpV-g?authuser=0&hl=id&rclk=1;
